County,Income,State
Autauga,40484,AL
Baldwin,44079,AL
Barbour,33453,AL
Bibb,30022,AL
Blount,33707,AL
Bullock,27500,AL
Butler,35196,AL
Calhoun,36255,AL
Chambers,33758,AL
Cherokee,34371,AL
Chilton,33350,AL
Choctaw,37253,AL
Clarke,35448,AL
Clay,33230,AL
Cleburne,35298,AL
Coffee,42076,AL
Colbert,37602,AL
Conecuh,31616,AL
Coosa,30332,AL
Covington,34785,AL
Crenshaw,36832,AL
Cullman,38615,AL
Dale,35834,AL
Dallas,34955,AL
DeKalb,30982,AL
Elmore,40601,AL
Escambia,31842,AL
Etowah,36069,AL
Fayette,33996,AL
Franklin,32985,AL
Geneva,33958,AL
Greene,32156,AL
Hale,36043,AL
Henry,39459,AL
Houston,40878,AL
Jackson,35774,AL
Jefferson,52003,AL
Lamar,32803,AL
Lauderdale,36448,AL
Lawrence,33003,AL
Lee,36941,AL
Limestone,40381,AL
Lowndes,39483,AL
Macon,31938,AL
Madison,49650,AL
Marengo,38086,AL
Marion,32315,AL
Marshall,35005,AL
Mobile,37089,AL
Monroe,32754,AL
Montgomery,43074,AL
Morgan,38617,AL
Perry,30607,AL
Pickens,31799,AL
Pike,36225,AL
Randolph,31900,AL
Russell,32818,AL
St. Clair,36941,AL
Shelby,52406,AL
Sumter,32437,AL
Talladega,33909,AL
Tallapoosa,39724,AL
Tuscaloosa,37407,AL
Walker,38614,AL
Washington,35512,AL
Wilcox,31328,AL
Winston,34145,AL
Aleutians East Borough,59084,AK
Aleutians West Census Area,53010,AK
Anchorage Municipality,63532,AK
Bethel Census Area,42863,AK
Bristol Bay Borough,126725,AK
Denali Borough,78138,AK
Dillingham Census Area,59340,AK
Fairbanks North Star Borough,54497,AK
Haines Borough,59951,AK
Hoonah-Angoon Census Area,55045,AK
Juneau City and Borough,66367,AK
Kenai Peninsula Borough,49800,AK
Ketchikan Gateway Borough,65034,AK
Kodiak Island Borough,60891,AK
Kusilvak Census Area,30872,AK
Lake and Peninsula Borough,59760,AK
Matanuska-Susitna Borough,44803,AK
Nome Census Area,49983,AK
North Slope Borough,86588,AK
Northwest Arctic Borough,46033,AK
Petersburg Borough,63637,AK
Prince of Wales-Hyder Census Area,41420,AK
Sitka City and Borough,65745,AK
Skagway Municipality,76710,AK
Southeast Fairbanks Census Area,47802,AK
Valdez-Cordova Census Area,59622,AK
Wrangell City and Borough,44286,AK
Yakutat City and Borough,52812,AK
Yukon-Koyukuk Census Area,56357,AK
Apache,32845,AZ
Cochise,39294,AZ
Coconino,46266,AZ
Gila,38257,AZ
Graham,30391,AZ
Greenlee,36664,AZ
La Paz,31335,AZ
Maricopa,45573,AZ
Mohave,30865,AZ
Navajo,31213,AZ
Pima,41637,AZ
Pinal,29309,AZ
Santa Cruz,36392,AZ
Yavapai,37398,AZ
Yuma,34752,AZ
Arkansas,43376,AR
Ashley,33543,AR
Baxter,35293,AR
Benton,81533,AR
Boone,34333,AR
Bradley,38378,AR
Calhoun,32907,AR
Carroll,32990,AR
Chicot,34860,AR
Clark,34713,AR
Clay,33559,AR
Cleburne,36358,AR
Cleveland,38144,AR
Columbia,37104,AR
Conway,37012,AR
Craighead,35963,AR
Crawford,32076,AR
Crittenden,36589,AR
Cross,34106,AR
Dallas,32911,AR
Desha,35361,AR
Drew,35057,AR
Faulkner,35918,AR
Franklin,33102,AR
Fulton,27598,AR
Garland,38259,AR
Grant,36975,AR
Greene,33405,AR
Hempstead,31407,AR
Hot Spring,29628,AR
Howard,34352,AR
Independence,33558,AR
Izard,28838,AR
Jackson,32623,AR
Jefferson,33796,AR
Johnson,28716,AR
Lafayette,35108,AR
Lawrence,33534,AR
Lee,27174,AR
Lincoln,25489,AR
Little River,34547,AR
Logan,33395,AR
Lonoke,37686,AR
Madison,35934,AR
Marion,29581,AR
Miller,32577,AR
Mississippi,26139,AR
Monroe,31816,AR
Montgomery,29336,AR
Nevada,33148,AR
Newton,28297,AR
Ouachita,35209,AR
Perry,33750,AR
Phillips,29762,AR
Pike,31975,AR
Poinsett,30758,AR
Polk,29674,AR
Pope,33875,AR
Prairie,33271,AR
Pulaski,48838,AR
Randolph,32433,AR
St. Francis,27538,AR
Saline,40232,AR
Scott,30278,AR
Searcy,26884,AR
Sebastian,40280,AR
Sevier,30532,AR
Sharp,31610,AR
Stone,29452,AR
Union,43836,AR
Van Buren,30426,AR
Washington,38883,AR
White,33881,AR
Woodruff,34945,AR
Yell,32189,AR
Alameda,71282,CA
Alpine,65673,CA
Amador,43679,CA
Butte,43287,CA
Calaveras,47384,CA
Colusa,48056,CA
Contra Costa,76527,CA
Del Norte,36179,CA
El Dorado,64673,CA
Fresno,41470,CA
Glenn,46626,CA
Humboldt,46722,CA
Imperial,36206,CA
Inyo,59744,CA
Kern,38560,CA
Kings,35326,CA
Lake,41443,CA
Lassen,36686,CA
Los Angeles,58419,CA
Madera,38799,CA
Marin,124552,CA
Mariposa,50772,CA
Mendocino,47646,CA
Merced,38716,CA
Modoc,45338,CA
Mono,51631,CA
Monterey,54395,CA
Napa,71174,CA
Nevada,59715,CA
Orange,65400,CA
Placer,63515,CA
Plumas,51302,CA
Riverside,39261,CA
Sacramento,50197,CA
San Benito,51343,CA
San Bernardino,38816,CA
San Diego,57913,CA
San Francisco,119868,CA
San Joaquin,42822,CA
San Luis Obispo,55328,CA
San Mateo,113410,CA
Santa Barbara,59460,CA
Santa Clara,98032,CA
Santa Cruz,64028,CA
Shasta,44691,CA
Sierra,44584,CA
Siskiyou,43735,CA
Solano,49116,CA
Sonoma,60286,CA
Stanislaus,42793,CA
Sutter,43385,CA
Tehama,40016,CA
Trinity,38963,CA
Tulare,39756,CA
Tuolumne,46571,CA
Ventura,59178,CA
Yolo,52289,CA
Yuba,39525,CA
Adams,41215,CO
Alamosa,35721,CO
Arapahoe,56642,CO
Archuleta,39944,CO
Baca,42019,CO
Bent,26417,CO
Boulder,68027,CO
Broomfield,63596,CO
Chaffee,43773,CO
Cheyenne,57212,CO
Clear Creek,56672,CO
Conejos,34726,CO
Costilla,32753,CO
Crowley,19443,CO
Custer,38008,CO
Delta,37475,CO
Denver,69862,CO
Dolores,34214,CO
Douglas,71208,CO
Eagle,70384,CO
Elbert,55187,CO
El Paso,46511,CO
Fremont,33422,CO
Garfield,55305,CO
Gilpin,45531,CO
Grand,46013,CO
Gunnison,44365,CO
Hinsdale,49480,CO
Huerfano,41138,CO
Jackson,46248,CO
Jefferson,60398,CO
KIA,53959,CO
Kit Carson,39016,CO
Lake,34668,CO
La Plata,52759,CO
Larimer,50539,CO
Las Animas,38119,CO
Lincoln,28330,CO
Logan,48521,CO
Mesa,41503,CO
Mineral,66047,CO
Moffat,39007,CO
Montezuma,40336,CO
Montrose,37658,CO
Morgan,43632,CO
Otero,37214,CO
Ouray,56335,CO
Park,42703,CO
Phillips,47637,CO
Pitkin,143812,CO
Prowers,41247,CO
Pueblo,37231,CO
Rio Blanco,44189,CO
Rio Grande,45544,CO
Routt,73200,CO
Saguache,30134,CO
San Juan,47138,CO
San Miguel,77106,CO
Sedgwick,52363,CO
Summit,64446,CO
Teller,47030,CO
Washington,41019,CO
Weld,44080,CO
Yuma,55197,CO
Fairfield,110104,CT
Hartford,61664,CT
Litchfield,62461,CT
Middlesex,65704,CT
New Haven,54543,CT
New London,56725,CT
Tolland,54818,CT
Windham,45553,CT
Kent,40304,DE
New Castle,53577,DE
Sussex,47324,DE
Alachua,42280,FL
Baker,30804,FL
Bay,42476,FL
Bradford,32685,FL
Brevard,43592,FL
Broward,48680,FL
Calhoun,26108,FL
Charlotte,40557,FL
Citrus,37379,FL
Clay,42386,FL
Collier,87829,FL
Columbia,33973,FL
DeSoto,24040,FL
Dixie,26467,FL
Duval,44347,FL
Escambia,40855,FL
Flagler,43444,FL
Franklin,34447,FL
Gadsden,33383,FL
Gilchrist,33266,FL
Glades,22617,FL
Gulf,33665,FL
Hamilton,25192,FL
Hardee,27559,FL
Hendry,30190,FL
Hernando,36161,FL
Highlands,33446,FL
Hillsborough,44709,FL
Holmes,29242,FL
Indian River,73274,FL
Jackson,30660,FL
Jefferson,40762,FL
Lafayette,24767,FL
Lake,40541,FL
Lee,49764,FL
Leon,42862,FL
Levy,34614,FL
Liberty,23311,FL
Madison,30470,FL
Manatee,45880,FL
Marion,35864,FL
Martin,79104,FL
Miami-Dade,46048,FL
Monroe,83328,FL
Nassau,55594,FL
Okaloosa,47433,FL
Okeechobee,30203,FL
Orange,42541,FL
Osceola,32096,FL
Palm Beach,74754,FL
Pasco,38911,FL
Pinellas,50630,FL
Polk,34213,FL
Putnam,31057,FL
St. Johns,64177,FL
St. Lucie,38835,FL
Santa Rosa,42909,FL
Sarasota,61523,FL
Seminole,46231,FL
Sumter,43464,FL
Suwannee,32644,FL
Taylor,29298,FL
Union,20396,FL
Volusia,40658,FL
