city,state,county_fips,county_name
Prairie Ridge,WA,53053,Pierce
Edison,WA,53057,Skagit
Packwood,WA,53041,Lewis
Wautauga Beach,WA,53035,Kitsap
Harper,WA,53035,Kitsap
Telma,WA,53007,Chelan
Kahlotus,WA,53021,Franklin
Mondovi,WA,53043,Lincoln
Washtucna,WA,53001,Adams
Pleasant Hill,WA,53033,King
Toledo,WA,53041,Lewis
Wabash,WA,53033,King
Renton,WA,53033,King
Chehalis,WA,53041,Lewis
Marcellus,WA,53001,Adams
Central Valley,WA,53035,Kitsap
Ralston,WA,53001,Adams
Lake City,WA,53053,Pierce
Megler,WA,53049,Pacific
Alder,WA,53053,Pierce
Goose Prairie,WA,53077,Yakima
Belvedere,WA,53047,Okanogan
Waverly,WA,53063,Spokane
Turner Corner,WA,53061,Snohomish
Lofall,WA,53035,Kitsap
Kennydale,WA,53033,King
Easton,WA,53037,Kittitas
Navy Yard City,WA,53035,Kitsap
Mercer Island,WA,53033,King
Lynnwood,WA,53061,Snohomish
Coulee City,WA,53025,Grant
Douglas,WA,53017,Douglas
Centralia,WA,53041,Lewis
Colbert,WA,53063,Spokane
Bryn Mawr,WA,53033,King
Silverdale,WA,53035,Kitsap
Lyle,WA,53039,Klickitat
Malott,WA,53047,Okanogan
Mountlake Terrace,WA,53061,Snohomish
Ilwaco,WA,53049,Pacific
Fairwood,WA,53033,King
Warm Beach,WA,53061,Snohomish
Thomas,WA,53033,King
Parker,WA,53077,Yakima
Steptoe,WA,53075,Whitman
Vail,WA,53067,Thurston
Magnolia Beach,WA,53033,King
Lakeview,WA,53053,Pierce
Shaw Island,WA,53055,San Juan
Oakesdale,WA,53075,Whitman
Rosburg,WA,53069,Wahkiakum
Seattle,WA,53033,King
Onalaska,WA,53041,Lewis
George,WA,53025,Grant
Index,WA,53061,Snohomish
Winchester,WA,53025,Grant
Chelatchie,WA,53011,Clark
Allentown,WA,53033,King
Novelty,WA,53033,King
Rosalia,WA,53075,Whitman
Richmond Beach,WA,53033,King
Lakota,WA,53033,King
Liberty Lake,WA,53063,Spokane
Airway Heights,WA,53063,Spokane
Reardan,WA,53043,Lincoln
Farmer,WA,53017,Douglas
Brier,WA,53061,Snohomish
Robe,WA,53061,Snohomish
Elk Plain,WA,53053,Pierce
Port Townsend,WA,53031,Jefferson
Ocean City,WA,53027,Grays Harbor
Boulevard Park,WA,53033,King
Newhalem,WA,53073,Whatcom
Ford,WA,53065,Stevens
Waterville,WA,53017,Douglas
Quinault,WA,53027,Grays Harbor
Humptulips,WA,53027,Grays Harbor
Hamilton,WA,53057,Skagit
Oak Harbor,WA,53029,Island
Naches,WA,53077,Yakima
Hooper,WA,53001,Adams
Anacortes,WA,53057,Skagit
Kettle Falls,WA,53065,Stevens
Walnut Grove,WA,53011,Clark
Salkum,WA,53041,Lewis
Cunningham,WA,53001,Adams
Irby,WA,53043,Lincoln
Electric City,WA,53025,Grant
Burbank,WA,53071,Walla Walla
Silver Lake,WA,53015,Cowlitz
Dash Point,WA,53053,Pierce
Pataha,WA,53023,Garfield
Laurel,WA,53039,Klickitat
Woods Creek,WA,53061,Snohomish
McKenna,WA,53053,Pierce
Revere,WA,53075,Whitman
Kalama,WA,53015,Cowlitz
Grandview,WA,53077,Yakima
Winthrop,WA,53047,Okanogan
Maltby,WA,53061,Snohomish
Spangle,WA,53063,Spokane
Blanchard,WA,53057,Skagit
Artondale,WA,53053,Pierce
May Creek,WA,53061,Snohomish
Home,WA,53053,Pierce
Vashon,WA,53033,King
Snoqualmie Falls,WA,53033,King
Laurier,WA,53019,Ferry
Quincy,WA,53025,Grant
Lake McMurray,WA,53057,Skagit
Martha Lake,WA,53061,Snohomish
Ariel,WA,53015,Cowlitz
Loon Lake,WA,53065,Stevens
Thornton,WA,53075,Whitman
Starbuck,WA,53013,Columbia
Ronald,WA,53037,Kittitas
Kelso,WA,53015,Cowlitz
Meadowdale,WA,53061,Snohomish
Cottage Lake,WA,53033,King
Cheney,WA,53063,Spokane
Woodway,WA,53061,Snohomish
Lacey,WA,53067,Thurston
Harrah,WA,53077,Yakima
Allyn,WA,53045,Mason
South Bend,WA,53049,Pacific
Barstow,WA,53019,Ferry
Tiger,WA,53051,Pend Oreille
Warden,WA,53025,Grant
Junction City,WA,53027,Grays Harbor
Blyn,WA,53009,Clallam
Lakebay,WA,53053,Pierce
Tahuya,WA,53045,Mason
Waukon,WA,53043,Lincoln
Kitsap Lake,WA,53035,Kitsap
Sultan,WA,53061,Snohomish
Plain,WA,53007,Chelan
Tanner,WA,53033,King
Stehekin,WA,53007,Chelan
Edmonds,WA,53061,Snohomish
North Hill,WA,53033,King
Zillah,WA,53077,Yakima
Monse,WA,53047,Okanogan
Lake Forest Park,WA,53033,King
Chinook,WA,53049,Pacific
Albion,WA,53075,Whitman
Skykomish,WA,53033,King
Yakima,WA,53077,Yakima
Pacific,WA,53033,King
Wishram,WA,53039,Klickitat
Cascade Valley,WA,53025,Grant
Cathcart,WA,53061,Snohomish
Brush Prairie,WA,53011,Clark
Amboy,WA,53011,Clark
Centerville,WA,53039,Klickitat
Verlot,WA,53061,Snohomish
Alstown,WA,53017,Douglas
Synarep,WA,53047,Okanogan
Annapolis,WA,53035,Kitsap
Port Gamble,WA,53035,Kitsap
Eatonville,WA,53053,Pierce
Similk Beach,WA,53057,Skagit
Cougar,WA,53015,Cowlitz
Eglon,WA,53035,Kitsap
Paterson,WA,53005,Benton
Tenino,WA,53067,Thurston
Minnehaha,WA,53011,Clark
Raymond,WA,53049,Pacific
Alger,WA,53057,Skagit
Roy,WA,53053,Pierce
Almira,WA,53043,Lincoln
Fragaria,WA,53035,Kitsap
Green Bluff,WA,53063,Spokane
Woodmont Beach,WA,53033,King
Frances,WA,53049,Pacific
Lynden,WA,53073,Whatcom
Clayton,WA,53065,Stevens
Everson,WA,53073,Whatcom
White Swan,WA,53077,Yakima
Camano,WA,53029,Island
Cedar Grove,WA,53033,King
Winton,WA,53007,Chelan
East Olympia,WA,53067,Thurston
Sunset Beach,WA,53053,Pierce
Belfair,WA,53045,Mason
Oso,WA,53061,Snohomish
Federal Way,WA,53033,King
Scandia,WA,53035,Kitsap
Quilcene,WA,53031,Jefferson
Covada,WA,53019,Ferry
Keyport,WA,53035,Kitsap
Juanita,WA,53033,King
Molson,WA,53047,Okanogan
Daisy,WA,53065,Stevens
Sumas,WA,53073,Whatcom
Mill Creek,WA,53061,Snohomish
Lakewood,WA,53053,Pierce
Venersborg,WA,53011,Clark
West Lake Sammamish,WA,53033,King
Port Angeles,WA,53009,Clallam
Longview,WA,53015,Cowlitz
Fairmont,WA,53061,Snohomish
Wapato,WA,53077,Yakima
East Port Orchard,WA,53035,Kitsap
North Omak,WA,53047,Okanogan
East Farms,WA,53063,Spokane
Eschbach,WA,53077,Yakima
